institution name,state,tot_grad,nonres_grad,pell_grad,urm_grad,ai_per,black_per,hispanic_per,pi_per,nonres_per,ai_grad,pi_grad,black_grad,hisp_grad
Chestnut Hill College,Pennsylvania,62,100,52,52,0,28,13,0,3,,,52,52
Curtis Institute of Music,Pennsylvania,92,100,100,83.5,0,3,3,0,44,,,67,100
Delaware Valley University,Pennsylvania,54,,45,31.41176471,0,9,8,0,0,50,,22,42
Dickinson College,Pennsylvania,84,90,84,80.90909091,0,4,7,0,13,100,100,86,78
Drexel University,Pennsylvania,78,72,75,71,0,8,8,0,9,67,33,67,75
Duquesne University,Pennsylvania,76,65,76,66.5,0,5,5,0,2,50,100,57,76
Eastern University,Pennsylvania,63,50,56,49.23255814,0,28,15,0,3,,,44,59
Elizabethtown College,Pennsylvania,76,55,69,51.8,0,3,7,0,2,100,,70,44
Franklin and Marshall College,Pennsylvania,86,86,82,82.33333333,0,5,10,0,19,100,,79,84
Gannon University,Pennsylvania,70,63,58,51.5,0,5,5,0,12,100,,50,53
Geneva College,Pennsylvania,69,50,65,54.33333333,0,6,3,0,2,,,40,83
Gettysburg College,Pennsylvania,82,74,83,84.88235294,0,5,12,0,8,100,,87,84
Grove City College,Pennsylvania,81,100,,88,0,0,1,0,1,,,100,88
Gwynedd Mercy University,Pennsylvania,66,,54,33.42857143,0,15,6,0,0,,,20,67
Haverford College,Pennsylvania,91,95,93,88.05555556,0,5,13,0,11,,,96,85
Holy Family University,Pennsylvania,58,50,51,46.85714286,0,16,12,0,1,,100,49,44
Hussian College-Philadelphia,Pennsylvania,50,,,URM proportions reported; missing matching grad rates,1,53,14,0,1,,,,
Immaculata University,Pennsylvania,61,100,54,44.36842105,0,10,9,0,1,0,,42,47
Indiana University of Pennsylvania-Main Campus,Pennsylvania,53,45,38,31.25,1,10,5,0,2,50,0,24,42
Juniata College,Pennsylvania,71,63,66,66.66666667,0,4,8,0,11,,,38,81
King's College,Pennsylvania,58,23,55,46.3125,0,5,11,0,1,50,,36,51
Kutztown University of Pennsylvania,Pennsylvania,56,71,50,37.77777778,0,7,11,0,1,75,,28,44
La Roche University,Pennsylvania,55,41,56,65,0,2,2,2,9,,100,45,50
La Salle University,Pennsylvania,65,58,58,54.66666667,0,25,17,0,4,100,67,49,63
Lafayette College,Pennsylvania,89,85,89,90.30769231,0,5,8,0,8,,,86,93
Lancaster Bible College,Pennsylvania,67,,52,48.69565217,0,20,3,0,0,,,50,40
Lebanon Valley College,Pennsylvania,68,100,56,37,0,3,6,0,1,,100,25,43
Lehigh University,Pennsylvania,91,94,91,86,0,5,10,0,8,100,100,82,88
Lycoming College,Pennsylvania,64,63,64,58.15384615,0,12,14,0,3,,,49,66
Marywood University,Pennsylvania,76,67,66,78.25,0,3,9,0,1,,,43,90
Mercyhurst University,Pennsylvania,68,82,58,54.5,0,5,5,0,4,100,,46,63
Messiah University,Pennsylvania,78,77,71,68.63636364,0,3,8,0,3,100,,57,73
Millersville University of Pennsylvania,Pennsylvania,57,60,49,44.89473684,0,9,10,0,1,33,,47,43
Misericordia University,Pennsylvania,75,,62,55.375,0,3,5,0,0,0,0,41,64
Moore College of Art and Design,Pennsylvania,61,100,64,66.66666667,0,16,7,1,0,,100,50,100
Moravian University,Pennsylvania,70,58,58,59.25,0,5,15,0,1,100,,48,63
Muhlenberg College,Pennsylvania,83,74,92,81.86666667,0,4,11,0,1,,,87,80
Neumann University,Pennsylvania,54,86,48,48.54054054,0,29,8,0,1,,,52,36
Pennsylvania State University-Main Campus,Pennsylvania,83,84,73,73.33333333,0,4,8,0,11,63,50,68,76
Peirce College,Pennsylvania,100,100,,URM proportions reported; missing matching grad rates,1,52,14,0,0,,,,
Pennsylvania Academy of the Fine Arts,Pennsylvania,50,50,67,63.66666667,1,10,11,0,10,,,60,67
Pennsylvania College of Art and Design,Pennsylvania,60,,63,33,0,12,2,0,0,50,,33,33
University of Pennsylvania,Pennsylvania,96,95,93,93.11111111,0,8,10,0,14,100,,92,94
University of the Arts,Pennsylvania,66,65,63,68,0,21,14,0,2,100,,68,68
Cairn University-Langhorne,Pennsylvania,56,50,45,29.4,0,7,3,0,6,,,33,21
University of Pittsburgh-Pittsburgh Campus,Pennsylvania,84,77,77,75.18181818,0,5,6,0,4,100,,79,72
Point Park University,Pennsylvania,59,50,54,56,0,12,10,0,3,50,50,56,56
Walnut Hill College,Pennsylvania,87,,98,72.25,0,27,9,0,0,,,63,100
Robert Morris University,Pennsylvania,65,75,60,26.25,0,6,2,0,5,100,,35,0
Saint Francis University,Pennsylvania,72,50,65,67,0,4,1,0,0,50,,68,63
Saint Joseph's University,Pennsylvania,82,80,73,72.875,0,7,9,0,2,100,80,65,79
Saint Vincent College,Pennsylvania,76,100,70,43,0,5,5,0,2,,100,40,46
University of Scranton,Pennsylvania,80,73,73,77.75,0,4,12,0,1,100,60,71,80
Seton Hill University,Pennsylvania,72,67,56,44.81818182,0,7,4,0,2,,,47,41
Shippensburg University of Pennsylvania,Pennsylvania,50,50,37,30.26315789,0,12,7,0,1,0,0,24,41
Slippery Rock University of Pennsylvania,Pennsylvania,66,25,57,51,0,4,3,0,2,17,100,45,59
Saint Charles Borromeo Seminary-Overbrook,Pennsylvania,59,,75,33,0,3,19,0,0,,,,33
Susquehanna University,Pennsylvania,76,100,67,70,0,6,6,0,1,0,,61,79
Swarthmore College,Pennsylvania,94,88,95,92.7826087,0,9,14,0,14,100,,94,92
Talmudical Yeshiva of Philadelphia,Pennsylvania,61,,33,URM proportions reported; missing matching grad rates,0,0,0,0,3,,,,
Temple University,Pennsylvania,78,78,70,68.08,0,16,9,0,4,80,83,67,70
Thomas Jefferson University,Pennsylvania,68,38,59,54.92307692,0,14,12,0,2,,,48,63
Ursinus College,Pennsylvania,73,25,71,67,0,7,7,0,1,100,,76,58
Villanova University,Pennsylvania,91,96,90,87.70588235,0,6,11,0,2,,,89,87
Washington & Jefferson College,Pennsylvania,74,88,70,62.58333333,0,7,5,0,2,0,,63,62
Waynesburg University,Pennsylvania,60,,49,44.44444444,0,5,4,0,0,,,20,75
West Chester University of Pennsylvania,Pennsylvania,72,80,63,57.38888889,0,11,7,0,0,,50,57,58
Westminster College,Pennsylvania,62,50,51,48,0,6,4,0,0,67,,42,57
Widener University,Pennsylvania,68,55,58,51,0,18,6,0,2,50,,53,45
Wilkes University,Pennsylvania,59,57,47,36.66666667,0,5,10,0,6,25,,34,38
Wilson College,Pennsylvania,50,50,36,20.83333333,0,7,5,0,2,,,20,22
York College of Pennsylvania,Pennsylvania,64,100,55,57.71428571,0,6,8,0,1,,,60,56
Brown University,Rhode Island,95,96,90,89.89473684,0,8,11,0,14,67,100,87,92
Bryant University,Rhode Island,83,85,72,81.45454545,0,4,7,0,5,100,,77,84
Johnson & Wales University-Providence,Rhode Island,52,71,44,43.22222222,0,11,16,0,4,31,,45,42
Providence College,Rhode Island,86,72,82,81.28571429,0,4,10,0,2,100,100,82,81
University of Rhode Island,Rhode Island,71,67,61,58,0,5,11,0,1,57,0,58,58
Rhode Island School of Design,Rhode Island,91,91,87,85,0,4,8,0,34,100,,79,88
Roger Williams University,Rhode Island,67,45,61,63.46153846,0,3,10,0,1,0,0,65,63
Salve Regina University,Rhode Island,76,73,71,59.54545455,0,2,9,0,3,,,71,57
Anderson University,South Carolina,60,11,51,43,0,4,0,0,0,,0,43,58
Bob Jones University,South Carolina,69,79,65,64.66666667,0,2,7,0,6,0,50,11,80
Southern Wesleyan University,South Carolina,60,50,62,39.09090909,0,16,6,0,0,,,35,50
College of Charleston,South Carolina,65,63,55,59.07692308,0,6,7,0,1,70,67,58,60
Citadel Military College of South Carolina,South Carolina,70,50,64,61.33333333,0,7,8,0,1,83,50,56,66
Claflin University,South Carolina,50,100,48,51.21978022,1,89,1,0,2,33,100,52,0
Clemson University,South Carolina,85,78,79,73.30769231,0,5,8,0,1,100,,69,76
Columbia International University,South Carolina,68,100,66,25.73684211,0,17,2,0,5,,,17,100
Columbia College,South Carolina,55,83,49,54.63829787,1,37,10,0,1,,0,54,57
Converse University,South Carolina,57,50,56,40.8,3,14,11,0,6,,,43,38
Furman University,South Carolina,85,50,82,87.5,0,6,6,0,4,75,,90,85
North Greenville University,South Carolina,54,0,49,38.76923077,0,8,5,0,1,,0,28,56
Presbyterian College,South Carolina,60,64,50,48.5,0,18,6,0,4,,,35,89
University of South Carolina-Columbia,South Carolina,78,79,67,76,0,9,6,0,3,60,71,74,79
Winthrop University,South Carolina,61,60,55,53.61538462,0,31,8,0,1,100,,53,56
Wofford College,South Carolina,83,100,71,83.84615385,0,7,6,0,2,,,76,93
Augustana University,South Dakota,76,77,67,60,1,3,4,0,10,50,,54,67
Mount Marty University,South Dakota,57,,56,25.90909091,2,5,4,0,4,0,0,25,40
Northern State University,South Dakota,59,40,56,47.57142857,2,2,3,0,3,20,,40,71
South Dakota School of Mines and Technology,South Dakota,56,83,49,42.85714286,1,1,5,0,2,0,,50,50
South Dakota State University,South Dakota,59,48,51,34.5,1,2,3,0,3,14,100,41,37
University of Sioux Falls,South Dakota,59,40,49,60.36363636,1,6,4,0,1,0,,44,100
University of South Dakota,South Dakota,57,55,46,37.9,2,3,5,0,2,13,0,46,43
Baptist Health Sciences University,Tennessee,57,,48,44.32653061,1,44,5,0,0,,,38,100
Belmont University,Tennessee,72,67,66,64.84615385,0,5,8,0,1,57,,63,66
Bryan College-Dayton,Tennessee,51,75,36,40.5,0,4,4,0,2,50,,10,71
Carson-Newman University,Tennessee,57,67,52,44.375,1,9,6,0,5,50,,36,56
Christian Brothers University,Tennessee,60,60,67,52.39285714,1,18,9,0,3,0,,54,55
Lipscomb University,Tennessee,69,80,63,57.70588235,0,7,10,0,3,50,,63,54
East Tennessee State University,Tennessee,55,48,45,32.8,0,6,4,0,1,50,0,34,31
Fisk University,Tennessee,56,,48,60.70666667,0,73,2,0,16,,,61,50
Welch College,Tennessee,51,,64,19.8,0,6,4,0,1,,,33,0
Freed-Hardeman University,Tennessee,70,47,56,53.6,1,4,0,0,2,100,100,42,80
Johnson University,Tennessee,62,100,60,78.57142857,0,4,3,0,2,,,100,50
Lee University,Tennessee,63,64,53,45.6,0,4,1,0,2,50,100,32,100
Lincoln Memorial University,Tennessee,50,50,48,36.83333333,1,6,5,0,6,25,,32,45
Maryville College,Tennessee,53,0,42,44.21428571,0,9,5,0,6,100,,41,50
Middle Tennessee State University,Tennessee,55,52,48,48.04347826,0,15,8,0,2,50,100,47,50
Rhodes College,Tennessee,85,86,73,76.5,0,10,6,0,7,33,,78,74
The University of the South,Tennessee,81,83,84,78.4,0,4,6,0,5,100,,79,78
Southern Adventist University,Tennessee,62,83,48,56.81818182,0,6,27,0,6,,100,47,59
Tennessee Wesleyan University,Tennessee,50,54,46,53.5,0,7,5,0,7,,,56,50
The University of Tennessee-Chattanooga,Tennessee,52,50,43,46,0,10,6,0,1,33,0,46,46
The University of Tennessee-Knoxville,Tennessee,73,76,60,63.18181818,0,5,6,0,1,55,83,61,65
The University of Tennessee-Martin,Tennessee,53,16,44,45.25,0,12,4,0,1,50,,43,52
Tennessee Technological University,Tennessee,60,57,52,48,0,4,5,0,2,50,,38,56
Trevecca Nazarene University,Tennessee,61,61,60,35.72727273,0,10,12,0,11,,0,9,58
Union University,Tennessee,67,40,62,39,0,13,1,0,2,,,36,78
Vanderbilt University,Tennessee,93,86,87,90.42857143,0,10,11,0,10,100,100,92,89
Abilene Christian University,Texas,60,39,46,55.96153846,1,7,18,0,4,67,0,44,60
Austin College,Texas,73,71,74,68.35294118,1,7,26,0,1,67,100,81,65
Baylor University,Texas,81,72,71,74.23809524,0,5,16,0,4,89,50,75,74
Dallas Baptist University,Texas,58,,43,50.57692308,1,10,15,0,6,100,50,39,55
University of Dallas,Texas,72,56,62,58.78571429,0,2,26,0,2,0,50,30,61
Hallmark University,Texas,60,,57,51.61290323,1,11,50,1,0,0,,50,53
Hardin-Simmons University,Texas,58,89,42,39.89473684,1,11,26,0,3,0,,48,38
University of Houston-Clear Lake,Texas,54,100,46,54.36363636,0,7,48,0,3,0,,50,55
University of Houston,Texas,63,66,62,57.54166667,0,11,37,0,5,0,100,56,58
University of the Incarnate Word,Texas,53,57,46,54.1,0,7,63,0,5,0,50,46,55
LeTourneau University,Texas,67,60,55,59,1,3,9,0,4,50,,38,67
University of Mary Hardin-Baylor,Texas,50,0,40,38.17948718,0,14,25,0,1,78,50,26,45
University of North Texas,Texas,59,69,59,57.34883721,0,15,28,0,4,60,50,58,57
The University of Texas Rio Grande Valley,Texas,53,68,52,52,0,0,94,0,2,,50,47,52
Rice University,Texas,94,93,94,89.86956522,0,8,15,0,13,100,100,84,93
Saint Edward's University,Texas,65,70,70,66.41818182,0,4,51,0,7,100,100,59,67
University of St Thomas,Texas,66,54,67,66.125,0,7,49,0,4,0,,60,67
Sam Houston State University,Texas,56,64,50,53.52272727,1,16,27,0,1,75,0,48,56
Schreiner University,Texas,50,100,41,51.55555556,0,5,40,0,1,0,,80,48
St. Mary's University,Texas,56,65,60,54.296875,1,3,60,0,7,100,,25,55
Southern Methodist University,Texas,82,89,79,77.25,0,5,15,0,4,100,,69,80
Nelson University,Texas,52,,54,52.85714286,3,14,25,0,1,38,0,29,68
Southwestern University,Texas,72,33,61,67.81818182,0,6,27,0,2,17,100,67,68
Stephen F Austin State University,Texas,53,8,47,46.5,1,12,21,0,1,27,33,42,50
Texas State University,Texas,56,88,49,52.29411765,0,9,42,0,1,67,70,49,53
Southwestern Adventist University,Texas,50,50,39,45.88461538,0,11,41,0,4,,20,38,48
Southwestern Christian College,Texas,50,,0,50,0,95,3,0,0,,,50,
Texas A & M University-College Station,Texas,84,88,75,77.48148148,0,2,25,0,1,95,67,71,78
The University of Texas at Arlington,Texas,53,67,54,49.71698113,0,15,38,0,4,83,,49,50
The University of Texas at Austin,Texas,88,87,81,82.3030303,0,5,28,0,5,79,80,84,82
The University of Texas at Dallas,Texas,70,37,69,61.2173913,0,5,18,0,4,50,67,62,61
Texas Christian University,Texas,84,87,76,79.71428571,0,4,17,0,5,82,33,70,82
Texas Lutheran University,Texas,54,100,46,53.53846154,0,10,42,0,0,,,39,57
The University of Texas at San Antonio,Texas,54,63,52,54.23188406,0,8,61,0,1,43,50,56,54
Texas Tech University,Texas,64,70,57,59.02857143,0,6,29,0,2,62,38,64,58
Trinity University,Texas,76,85,73,73.14285714,0,4,24,0,5,100,,62,75
Brigham Young University,Utah,79,77,72,71.33333333,0,0,8,1,3,67,58,80,73
Brigham Young University-Hawaii,Hawaii,50,79,55,50.66666667,0,0,5,7,49,0,59,,39
Utah State University,Utah,53,24,46,39.11111111,1,1,7,0,1,40,43,25,41
University of Utah,Utah,65,72,54,56.4,0,1,14,0,6,44,33,62,56
Westminster University,Utah,65,75,62,67.125,0,2,13,1,5,40,0,56,74
Bennington College,Vermont,69,76,72,77.14285714,1,3,10,0,15,100,,100,68
Castleton University,Vermont,54,46,49,23,0,4,4,0,5,0,,13,33
Champlain College,Vermont,64,67,52,55.75,0,6,10,0,0,100,,47,61
Goddard College,Vermont,57,,67,URM proportions reported; missing matching grad rates,0,5,3,0,0,100,,,
Middlebury College,Vermont,94,96,86,85.17647059,0,5,12,0,12,,,88,84
Norwich University,Vermont,61,59,49,48.28571429,0,5,9,0,6,67,0,38,54
Saint Michael's College,Vermont,74,56,74,70.625,0,3,5,0,4,50,,70,71
University of Vermont,Vermont,76,63,72,67.66666667,0,1,5,0,1,,,71,67
Bridgewater College,Virginia,58,64,51,52.05263158,0,12,7,0,2,50,,55,47
William & Mary,Virginia,91,81,84,88.6,0,6,9,0,4,100,,85,91
Regent University,Virginia,55,25,42,46.11111111,0,25,11,0,0,0,,40,60
Christopher Newport University,Virginia,76,71,70,70.5,0,8,8,0,0,67,100,72,69
Emory & Henry University,Virginia,58,,51,27.88235294,0,14,3,0,1,0,,30,18
Eastern Mennonite University,Virginia,63,44,49,46.71428571,0,11,10,0,5,0,,41,53
George Mason University,Virginia,71,69,68,69,0,12,17,0,5,100,50,69,69
Hampden-Sydney College,Virginia,75,,63,58.85714286,0,8,6,0,0,50,,43,80
Hollins University,Virginia,62,83,53,50.25,0,15,9,0,8,67,100,33,79
James Madison University,Virginia,81,71,26,78,0,4,8,0,1,100,100,78,78
Liberty University,Virginia,67,66,52,46.5625,0,9,7,0,1,43,17,40,55
Longwood University,Virginia,67,14,55,63.88888889,0,11,7,0,1,50,100,60,70
University of Lynchburg,Virginia,60,60,49,46.42105263,0,12,7,0,2,100,,42,54
University of Mary Washington,Virginia,69,50,64,59.2,0,8,12,0,2,,0,46,68
Marymount University,Virginia,61,70,60,55.30612245,0,15,34,0,9,50,100,56,55
Radford University,Virginia,54,27,51,48.125,0,15,9,0,1,43,20,50,45
Randolph-Macon College,Virginia,74,75,71,71.07142857,0,9,5,0,2,100,100,80,55
Randolph College,Virginia,50,69,45,43.7,0,21,8,1,4,,50,41,50
University of Richmond,Virginia,88,88,83,89.125,0,6,10,0,12,,,91,88
Roanoke College,Virginia,71,78,65,69.36363636,0,5,6,0,3,0,,65,73
Shenandoah University,Virginia,62,60,55,37.8,2,8,10,0,0,25,,37,41
Sweet Briar College,Virginia,61,80,55,48.07692308,1,8,5,0,9,,100,40,61
Virginia Polytechnic Institute and State University,Virginia,87,77,83,82.25,0,6,10,0,5,75,100,81,83
Virginia Commonwealth University,Virginia,65,56,61,61.625,0,21,11,0,2,60,33,63,59
University of Virginia-Main Campus,Virginia,95,93,92,91.5,0,7,7,0,5,100,100,88,95
Virginia Military Institute,Virginia,77,67,75,70.26666667,0,7,8,0,2,60,50,74,67
Washington and Lee University,Virginia,95,92,85,96.66666667,0,4,8,0,6,,,100,95
Central Washington University,Washington,52,78,47,48.07407407,1,5,20,1,3,38,25,35,53
Cornish College of the Arts,Washington,53,100,48,40,1,5,3,0,3,33,33,33,54
Eastern Washington University,Washington,50,55,47,43.4,1,4,19,1,1,35,8,42,46
Gonzaga University,Washington,88,91,82,80.57142857,0,1,13,0,4,90,100,75,81
Northwest University,Washington,68,80,61,61.21052632,0,5,13,1,10,50,50,64,61
Pacific Lutheran University,Washington,72,75,62,63.92,1,4,18,2,2,50,40,52,70
University of Puget Sound,Washington,76,25,68,70.125,0,3,12,1,1,100,33,63,75
Saint Martin's University,Washington,60,50,61,57.86111111,1,7,22,6,2,25,50,50,64
Seattle Pacific University,Washington,65,73,50,59.4,0,7,17,1,6,25,56,56,61
Seattle University,Washington,74,62,69,75.23809524,0,5,15,1,9,80,100,86,70
Walla Walla University,Washington,62,71,52,64.04,0,3,22,0,7,25,50,57,65
Washington State University,Washington,62,64,53,53.04761905,1,3,16,1,3,47,40,49,55
University of Washington-Seattle Campus,Washington,84,89,79,77.18181818,0,3,8,0,12,74,74,75,78
Western Washington University,Washington,65,80,55,60.84615385,0,2,11,0,1,54,43,60,61
Whitman College,Washington,90,93,83,73.5,0,3,9,0,12,100,100,57,79
Whitworth University,Washington,76,88,72,70.9375,0,3,13,2,6,100,,62,73
Appalachian Bible College,West Virginia,52,,38,URM proportions reported; missing matching grad rates,0,2,0,0,3,,,,
Davis & Elkins College,West Virginia,51,35,54,52.77777778,1,5,4,0,8,,,55,50
Marshall University,West Virginia,50,71,40,40.57142857,0,5,2,0,1,82,100,38,47
West Liberty University,West Virginia,58,33,51,50,0,4,0,0,3,,100,50,100
West Virginia Wesleyan College,West Virginia,53,41,46,29.15,1,14,5,0,6,100,,27,21
West Virginia University,West Virginia,61,63,49,44.71428571,0,3,4,0,2,88,100,35,52
Wheeling University,West Virginia,59,0,48,44,1,11,0,0,5,0,0,48,88
Alverno College,Wisconsin,52,0,46,44.09090909,0,17,38,0,1,,0,13,58
Bellin College,Wisconsin,76,,100,URM proportions reported; missing matching grad rates,1,1,2,0,0,,,,
Beloit College,Wisconsin,71,72,62,63.64,0,9,16,0,15,0,,63,64
Cardinal Stritch University,Wisconsin,52,59,45,45.8,0,12,18,0,16,100,100,35,53
Carroll University,Wisconsin,67,42,62,52.76923077,0,2,11,0,2,100,100,35,56
Carthage College,Wisconsin,65,80,52,49,0,5,15,0,1,57,100,46,50
Concordia University-Wisconsin,Wisconsin,67,69,62,40.42857143,0,8,6,0,7,,,43,37
Edgewood College,Wisconsin,62,50,56,65.4,0,4,11,0,1,,,50,71
Lakeland University,Wisconsin,51,100,38,43.125,1,6,9,0,1,0,,19,64
Lawrence University,Wisconsin,78,86,66,73.2,0,4,11,0,12,0,100,71,74
Maranatha Baptist University,Wisconsin,53,50,49,21.42857143,1,1,6,0,1,,,0,25
Marian University,Wisconsin,51,100,43,35.8,1,5,9,0,5,0,100,21,48
Marquette University,Wisconsin,83,76,75,72.5,0,5,15,0,2,33,100,68,74
Milwaukee Institute of Art & Design,Wisconsin,57,67,55,58.77272727,0,5,17,0,0,33,,58,59
Milwaukee School of Engineering,Wisconsin,71,31,69,60.75,0,3,9,0,4,,,36,69
Mount Mary University,Wisconsin,60,100,62,55.15384615,0,20,32,0,1,,,41,64
Northland College,Wisconsin,54,80,46,45.2,2,4,9,0,7,25,,67,40
Ripon College,Wisconsin,56,36,46,55.86666667,0,4,11,0,1,0,,50,58
Saint Norbert College,Wisconsin,72,69,70,61.33333333,0,1,5,0,2,17,100,78,58
Viterbo University,Wisconsin,61,25,44,24.54545455,0,5,6,0,1,,,0,45
University of Wisconsin-Whitewater,Wisconsin,62,43,52,48.15384615,0,4,9,0,1,0,0,35,54
University of Wisconsin-Eau Claire,Wisconsin,65,50,56,50.8,0,1,4,0,2,80,,50,51
University of Wisconsin-Green Bay,Wisconsin,52,47,43,42.63636364,1,2,8,0,1,33,,18,50
University of Wisconsin-La Crosse,Wisconsin,70,71,60,52,0,0,4,0,1,100,,65,52
Wisconsin Lutheran College,Wisconsin,67,,58,36,0,5,10,0,1,,,0,54
University of Wisconsin-Oshkosh,Wisconsin,58,33,52,49,0,2,6,0,1,40,67,37,53
University of Wisconsin-Stout,Wisconsin,52,38,38,32,0,1,4,0,2,50,100,24,34
University of Wisconsin-Madison,Wisconsin,89,92,84,81.77777778,0,2,7,0,11,55,86,81,82
University of Wisconsin-Platteville,Wisconsin,61,32,52,41.5,0,1,5,0,1,0,,19,46
University of Wisconsin-River Falls,Wisconsin,59,45,53,40.66666667,0,2,4,0,1,100,100,26,48
University of Wisconsin-Stevens Point,Wisconsin,56,35,52,38,0,2,4,0,1,40,0,30,42
University of Wyoming,Wyoming,61,51,45,44.8,1,1,8,0,2,38,0,42,46
American Samoa Community College,American Samoa,100,,100,100,0,0,0,88,11,,100,,
Albizu University-San Juan,Puerto Rico,71,,70,71,0,0,99,0,0,,,,71
Puerto Rico Conservatory of Music,Puerto Rico,74,100,64,70,0,0,97,0,3,,,,70
University of Puerto Rico-Arecibo,Puerto Rico,50,,50,50,0,0,100,0,0,,,,50
University of Puerto Rico-Carolina,Puerto Rico,54,,54,55.85858586,1,4,95,0,0,,,100,54
Stanford University,California,95,95,90,93.22222222,1,8,18,0,11,89,100,92,94
Purdue University-Main Campus,Indiana,83,86,76,78.11111111,0,2,7,0,11,100,56,82,77
Parker University,Texas,100,,100,100,2,28,3,0,0,,,100,
EDP University of Puerto Rico Inc-San Juan,Puerto Rico,53,,42,53,0,0,100,0,0,,,,53
St. John's College,New Mexico,72,67,71,83,0,2,11,0,13,,,,83
Yeshiva Gedolah of Greater Detroit,Michigan,77,,100,URM proportions reported; missing matching grad rates,0,0,0,0,0,,,,
New College of Florida,Florida,63,60,57,49.76190476,0,4,17,0,4,,,70,45
Pennsylvania College of Technology,Pennsylvania,57,,53,25.55555556,0,4,5,0,0,0,100,10,38
California State University-San Marcos,California,57,52,55,54.34545455,0,4,51,0,1,33,33,46,55
Hussian College-Daymar College Clarksville,Tennessee,88,,92,74.13513514,2,29,8,1,1,,,67,100
Yeshiva Gedolah Imrei Yosef D'spinka,New York,58,,85,URM proportions reported; missing matching grad rates,0,0,0,0,0,,,,
CEM College-Humacao,Puerto Rico,63,,60,63,0,0,100,0,0,,,,63
Universal Technology College of Puerto Rico,Puerto Rico,50,,50,50,0,0,100,0,0,,,,50
Northwest College of Art & Design,Washington,56,,46,9.375,9,5,15,3,0,0,100,0,0
University of Washington-Bothell Campus,Washington,69,65,70,65,0,10,10,0,4,100,75,69,61
University of Washington-Tacoma Campus,Washington,54,50,53,55.92857143,1,11,15,1,2,33,64,64,51
Beacon College,Florida,60,100,67,74.83333333,1,14,9,1,1,0,,64,100
University of the Potomac-Washington DC Campus,District of Columbia,50,60,14,41.55555556,1,17,4,0,22,0,,44,
Everglades University,Florida,56,,54,56.65,2,19,19,0,0,50,100,53,61
Herzing University-Orlando,Florida,67,,67,100,0,40,25,0,0,,,,100
Soka University of America,California,88,89,85,97.33333333,0,2,13,0,53,,100,80,100
Galen College of Nursing-San Antonio,Texas,74,,83,82.8125,0,11,53,0,0,,0,0,100
California State University-Monterey Bay,California,61,53,63,64.96363636,0,2,53,0,3,100,50,64,65
Remington College-Memphis Campus,Tennessee,71,,67,71,0,95,1,0,0,,,71,
Arizona College of Nursing-Tempe,Arizona,60,,,37.5,2,9,27,1,0,,,0,50
San Juan Bautista School of Medicine,Puerto Rico,50,,100,50,0,0,100,0,0,,,,50
American University of Health Sciences,California,67,,67,URM proportions reported; missing matching grad rates,3,10,31,4,0,,,,
California Aeronautical University,California,67,,,100,0,8,33,2,0,,,,100
Florida Gulf Coast University,Florida,59,63,55,56.4,0,6,24,0,2,86,50,58,56
International Baptist College and Seminary,Arizona,60,,67,URM proportions reported; missing matching grad rates,0,4,7,2,2,100,,,
University of Connecticut-Waterbury Campus,Connecticut,60,50,60,45.25,0,9,27,0,2,,,52,43
University of Connecticut-Avery Point,Connecticut,59,,54,29.14285714,0,3,18,0,1,,,42,27
University of Connecticut-Stamford,Connecticut,64,65,62,55.16326531,0,15,34,0,5,,,51,57
University of Management and Technology,Virginia,100,,,URM proportions reported; missing matching grad rates,0,7,2,0,0,,,,
East West College of Natural Medicine,Florida,100,,100,No URM enrollment,,,,,,,,100,100
The King's University,Texas,67,,75,50,2,9,13,0,1,,,,50
Pacific Islands University,Guam,100,,100,100,0,2,5,86,2,,100,,
New Saint Andrews College,Idaho,81,50,,URM proportions reported; missing matching grad rates,1,1,5,0,0,,,,
Oregon State University-Cascades Campus,Oregon,58,,86,0,1,1,10,0,1,0,,,0
Smith Chason College,California,62,,100,57,1,8,44,2,0,,,,57
California State University-Channel Islands,California,57,48,55,53.16129032,0,2,60,0,1,0,0,28,54
Franklin W Olin College of Engineering,Massachusetts,94,100,100,77,0,3,9,0,8,,,50,86
Saint Joseph's University - Lancaster,Pennsylvania,60,,50,0,0,12,17,0,0,,,,0
St Louis College of Health Careers-Fenton,Missouri,62,,63,100,0,53,2,0,0,,,100,
West Coast University-Los Angeles,California,100,,100,URM proportions reported; missing matching grad rates,0,4,33,1,0,,,,
DigiPen Institute of Technology,Washington,60,71,57,44.54545455,0,2,9,0,12,100,,20,50
Strayer University-Pennsylvania,Pennsylvania,50,,100,0,0,50,15,0,0,,,0,
Brookline College-Albuquerque,New Mexico,50,,50,50,7,6,58,0,0,,,,50
University of California-Merced,California,67,66,68,65.16666667,0,5,55,0,5,,75,78,64
Remington College-North Houston Campus,Texas,50,,0,38.20224719,1,55,34,0,0,,,0,100
Neumont College of Computer Science,Utah,56,,55,47.92,2,6,16,1,0,0,100,63,45
Uta Mesivta of Kiryas Joel,New York,85,,100,URM proportions reported; missing matching grad rates,0,0,0,0,1,,,,67
Joyce University of Nursing and Health Sciences,Utah,100,,,URM proportions reported; missing matching grad rates,0,2,10,1,0,,,,
Eagle Gate College-Layton,Utah,50,,50,33,0,4,14,1,0,,,,33
Miami Regional University,Florida,67,,50,67,0,8,90,0,0,,,,67
